ts,lp,votes,emissions,bribes,fees,chain_id,chain_name,chain_key,bribes_usd,fees_usd,total_incentives_usd
1769040000,0x7A7f1187c4710010DB17d0a9ad3fcE85e6ecD90a,2089485.6572396609,0.01956200048747026,"[('0x3417E54A51924C225330f8770514aD5560B9098D', 2500000000000000000000)]","[('0x3417E54A51924C225330f8770514aD5560B9098D', 58975643433453974984), ('0x9560e827aF36c94D2Ac33a39bCE1Fe78631088Db', 127830877266812892318)]",10,Optimism,op,83.75,4.46,88.21
1769040000,0x8134A2fDC127549480865fB8E5A9E8A8a95a54c5,3150835.9095842447,0.030184074127316052,[],"[('0x7F5c764cBc14f9669B88837ca1490cCa17c31607', 93950439), ('0x9560e827aF36c94D2Ac33a39bCE1Fe78631088Db', 5971905395539314852765)]",10,Optimism,op,0.0,210.04,210.04
1769040000,0x58e6433A6903886E440Ddf519eCC573c4046a6b2,5574667.430937751,0.052457294315401255,[],"[('0x4200000000000000000000000000000000000006', 100966064087278460), ('0x9560e827aF36c94D2Ac33a39bCE1Fe78631088Db', 15608179729103966062467)]",10,Optimism,op,0.0,599.65,599.65
1769040000,0x1AD06Ca54de04DBe9e2817F4C13eCB406DCbeAf0,61660.81625595365,0.000577281246875018,[],"[('0x3E29D3A9316dAB217754d13b28646B76607c5f04', 230001352158537), ('0x6806411765Af15Bddd26f8f544A34cC40cb9838B', 214431112100386)]",10,Optimism,op,0.0,1.27,1.27
1769040000,0xC5c247580A4A6E4d3811c0DA6215057aaC480bAc,94056.53805167574,0.000880570763015706,[],"[('0x1F32b1c2345538c0c6f582fCB022739c4A194Ebb', 573772822636574), ('0xFdb794692724153d1488CcdBE0C56c252596735F', 5254903222102497934)]",10,Optimism,op,0.0,5.16,5.16
1769040000,0x4E316557f63C2156eAFdfec08f31DF4957136203,1995553.2011667732,0.01868277960176627,"[('0x3417E54A51924C225330f8770514aD5560B9098D', 1400000000000000000000)]","[('0x3417E54A51924C225330f8770514aD5560B9098D', 147255712070792641824), ('0x4200000000000000000000000000000000000042', 10754817333732819232)]",10,Optimism,op,46.9,8.12,55.019999999999996
1769040000,0x6387765fFA609aB9A1dA1B16C455548Bfed7CbEA,56085.02077135918,0.000540284110271299,[],"[('0x4200000000000000000000000000000000000006', 1813932375033583), ('0xc40F949F8a4e094D1b49a23ea9241D289B7b2819', 4027048260308903276)]",10,Optimism,op,0.0,9.33,9.33
1769040000,0x19715771E30c93915A5bbDa134d782b81A820076,222.98599864716468,2.087661506388e-06,[],"[('0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1', 130959548390280668)]",10,Optimism,op,0.0,0.13,0.13
1769040000,0xfA09479d72E2b3f8B6dF63399772237Ad6658D76,24970.952150841982,0.000233785510747056,[],"[('0xCB8FA9a76b8e203D8C3797bF438d8FB81Ea3326A', 833882937332827), ('0xdFA46478F9e5EA86d57387849598dbFB2e964b02', 132774982751307088)]",10,Optimism,op,0.0,0.01,0.01
1769040000,0x8542DD4744edEa38b8a9306268b08F4D26d38581,102934.33406261595,0.000963701973271585,[],"[('0x2E3D870790dC77A83DD1d18184Acc7439A53f475', 795711916507246239), ('0x7F5c764cBc14f9669B88837ca1490cCa17c31607', 707907)]",10,Optimism,op,0.0,1.5,1.5
1769040000,0x0df083de449F75691fc5A36477a6f3284C269108,827315.1005088459,0.00760196154877471,[],"[('0x4200000000000000000000000000000000000042', 197818521530522492624), ('0x7F5c764cBc14f9669B88837ca1490cCa17c31607', 57289090)]",10,Optimism,op,0.0,115.9,115.9
1769040000,0x0493Bf8b6DBB159Ce2Db2E0E8403E753Abd1235b,753817.898033966,0.007057788693786804,[],"[('0x4200000000000000000000000000000000000006', 8534254529445221), ('0x7F5c764cBc14f9669B88837ca1490cCa17c31607', 22812240)]",10,Optimism,op,0.0,47.84,47.84
1769040000,0x2B47C794c3789f499D8A54Ec12f949EeCCE8bA16,29173.075856944484,0.000273368060580682,[],"[('0x94b008aA00579c1307B0EF2c499aD98a8ce58e58', 1278473)]",10,Optimism,op,0.0,1.28,1.28
1769040000,0x4d7959d17B9710BE87e3657e69d946914221BB88,22911.753498797305,0.000214509515875091,[],"[('0x7F5c764cBc14f9669B88837ca1490cCa17c31607', 1725527), ('0xCB8FA9a76b8e203D8C3797bF438d8FB81Ea3326A', 1777989537664492425)]",10,Optimism,op,0.0,3.49,3.49
1769040000,0x8F47041aDbeF5BF321c9F63A0660326614ab6B60,83937.07058300811,0.000785854316025162,[],"[('0x4200000000000000000000000000000000000006', 5004563250505166), ('0x920Cf626a271321C151D027030D5d08aF699456b', 3070821740529715960)]",10,Optimism,op,0.0,34.98,34.98
1769040000,0xB720FBC32d60BB6dcc955Be86b98D8fD3c4bA645,36766.69984024656,0.000344225376877858,[],"[('0x7F5c764cBc14f9669B88837ca1490cCa17c31607', 635070)]",10,Optimism,op,0.0,0.63,0.63
1769040000,0x71d53B5B7141E1ec9A3Fc9Cc48b4766102d14A4A,778893.3383138424,0.007292400851584794,[],"[('0x7F5c764cBc14f9669B88837ca1490cCa17c31607', 7817951), ('0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B4', 19423157637045619800)]",10,Optimism,op,0.0,15.84,15.84
1769040000,0x4E60495550071693bc8bDfFC40033d278157EAC7,67796.36335018881,0.000634744493898931,[],"[('0x1DB2466d9F5e10D7090E7152B68d62703a2245F0', 125910958993978803998)]",10,Optimism,op,0.0,0.05,0.05
1769040000,0x917AA69D539D6518440dd0BEA2eaAc142a8d5610,15095032.259489756,0.1408493032026362,[],"[('0x1610e3c85dd44Af31eD7f33a63642012Dca0C5A5', 6647168391640812), ('0x4200000000000000000000000000000000000006', 8916715093271966)]",10,Optimism,op,0.0,45.53,45.53
1769040000,0x25C488e5F69aC334ac1e8f786D890A97ec1bF713,325726.39636988076,0.003137955253406813,[],"[('0x9e5AAC1Ba1a2e6aEd6b32689DFcF62A509Ca96f3', 2149582383823389898194), ('0xbfD291DA8A403DAAF7e5E9DC1ec0aCEaCd4848B9', 21603778968204807969)]",10,Optimism,op,0.0,42.55,42.55
